BucketTipDistance_m_,BucketTipDepth_m_,BucketTipAOA_deg_
0.928065452,-0.102500472,54.29846485
0.928065452,-0.102500472,54.29846485
0.927912145,-0.103722748,54.37464839
0.927282876,-0.108607244,54.67921095
0.924726705,-0.124940895,55.74706006
0.922429598,-0.139473057,56.6567877
0.920723996,-0.154242563,57.27705728
0.919565746,-0.168400604,57.81949081
0.917609384,-0.177982715,58.42235688
0.91096657,-0.189347953,59.92097722
0.898028534,-0.204455978,63.28877085
0.888803651,-0.212526667,65.78779544
0.881040923,-0.218784599,67.88113369
0.871853011,-0.225466682,70.38775492
0.867913714,-0.223434165,71.31001675
0.869576609,-0.210976003,70.76028727
0.868140609,-0.205718897,70.86817519
0.86051328,-0.206439731,72.14335445
0.851627493,-0.208956223,73.60193303
0.844705319,-0.210167628,74.69572311
0.83319579,-0.219249455,76.67261349
0.819611549,-0.229294799,78.9381788
0.81083485,-0.234633695,80.7845672
0.802793677,-0.237445533,82.75752088
0.793450794,-0.241399114,85.05090778
0.785339802,-0.244521463,87.04733677
0.777633133,-0.248378317,88.58618696
0.772434258,-0.248203006,89.34472524
0.772602171,-0.239117037,89.07029199
0.765176474,-0.237714151,90.08845688
0.758746831,-0.236502269,90.92910351
0.751083849,-0.236169186,92.13801716
0.74193192,-0.237706974,94.04534474
0.729965287,-0.241488795,96.59453698
0.719102867,-0.243524929,98.95305539
0.713172098,-0.242305511,100.2501709
0.703981666,-0.241136939,102.1475449
0.696680338,-0.241191586,103.3212947
0.687553549,-0.240746538,104.5171042
0.677159328,-0.241347195,105.9102147
0.668791895,-0.241026377,106.999881
0.657354149,-0.241487514,108.5167035
0.649774346,-0.241353966,109.5041836
0.636122855,-0.243442137,111.3662852
0.621602415,-0.2468191,113.3914614
0.610386464,-0.248308792,114.9175248
0.597802279,-0.250483371,116.6531418
0.58691008,-0.252061293,118.1493513
0.572696217,-0.253700644,120.0952588
0.56409171,-0.252809228,121.9725221
0.554926386,-0.251040792,124.2378514
0.544907644,-0.249038523,126.6501839
0.532096524,-0.246320678,129.6632533
0.522091585,-0.243838257,132.0589303
0.511401152,-0.241131768,134.5404391
0.501982252,-0.237562492,137.11929
0.496666174,-0.232097561,139.9061643
0.491078233,-0.226209954,142.8320535
